Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.4,0.00046,"(0.00013,0.00078)",0.0072,0.212,"Adenylosuccinate synthase|dTDP-4-dehydrorhamnose 3,5-epimerase|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)|4-deoxy-L-threo-5-hexulose uronate isomerase|Sugar kinases, ribokinase family|Entner-Doudoroff aldolase|Entner-Doudoroff aldolase|D-altronate dehydratase|tagaturonate reductase|D-glucuronate isomerase|D-glucuronate isomerase|UDP-N-acetylmuramate--L-alanine ligase|Zn-dependent dipeptidase, microsomal dipeptidase homolog|Zn-dependent dipeptidase, microsomal dipeptidase homolog|Beta-lactamase class A|peroxiredoxin|peroxiredoxin|putative alkyl hydroperoxide reductase F subunit|methionine-R-sulfoxide reductase/methionine-S-sulfoxide reductase|methionine-R-sulfoxide reductase/methionine-S-sulfoxide reductase|glutaminyl-tRNA synthetase|ornithine carbamoyltransferase|ornithine carbamoyltransferase|Deoxycytidylate deaminase|translation elongation factor 2 (EF-2/EF-G)|Lysyl-tRNA synthetase (class II)|Protein-tyrosine-phosphatase|GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase|diaminohydroxyphosphoribosylaminopyrimidine deaminase /5-amino-6-(5-phosphoribosylamino)uracil reductase|diaminohydroxyphosphoribosylaminopyrimidine deaminase /5-amino-6-(5-phosphoribosylamino)uracil reductase|Phosphomannose isomerase|thymidine kinase|Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)|thymidine kinase|ATP-dependent Clp protease proteolytic subunit ClpP|O-acetylhomoserine sulfhydrolase|O-acetylhomoserine sulfhydrolase|Metal-dependent hydrolases of the beta-lactamase superfamily III|tRNA nucleotidyltransferase/poly(A) polymerase|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Alkaline phosphatase|Alkaline phosphatase|birA, biotin-[acetyl-CoA-carboxylase] ligase region|Sugar kinases, ribokinase family|Mannitol-1-phosphate/altronate dehydrogenases|D-mannonate dehydratase|enolase|pyruvate formate-lyase 1-activating enzyme|formate acetyltransferase 1|Dihydroxyacid dehydratase/phosphogluconate dehydratase|Dihydroxyacid dehydratase/phosphogluconate dehydratase|phosphoserine aminotransferase|phosphoserine aminotransferase|Phosphoglycerate dehydrogenase and related dehydrogenases|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase|UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase|UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase|UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase|UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase|UDP-N-acetylmuramyl-tripeptide synthetases|phosphoribosylaminoimidazole-succinocarboxamide synthase|citrate lyase acyl carrier protein|citrate lyase acyl carrier protein|citrate lyase acyl carrier protein|Citrate lyase beta subunit|Citrate lyase beta subunit|Citrate lyase beta subunit|citrate lyase, alpha subunit|citrate lyase, alpha subunit|citrate lyase, alpha subunit|Carbonic anhydrase","L-aspartate + IMP + GTP  <-->  adenylo-succinate + GDP + phosphate + 2 H+|dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose  <-->  dTDP-4-dehydro-beta-L-rhamnose|a ThiI sulfur-carrier protein + L-cysteine  <-->  an S-sulfanyl-[ThiI sulfur-carrier protein] + L-alanine|an S-sulfanyl-[L-cysteine desulfurase] + a ThiI sulfur-carrier protein  <-->  L-cystein desulfurase + an S-sulfanyl-[ThiI sulfur-carrier protein]|an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex  <-->  a [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex|a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-cysteine  <-->  an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-alanine|an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex  <-->  a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex|L-cystein desulfurase + L-cysteine  <-->  an S-sulfanyl-[L-cysteine desulfurase] + L-alanine|L-cysteine + an unsulfurated [sulfur carrier] + H+  <-->  L-alanine + a sulfurated [sulfur carrier]|an S-sulfanyl-[L-cysteine desulfurase] + an unsulfurated [sulfur carrier]  <-->  L-cystein desulfurase + a sulfurated [sulfur carrier]|D-gluconate + NAD(P)+  <-->  5-dehydro-D-gluconate + NAD(P)H + H+|5-dehydro-4-deoxy-D-glucuronate  <-->  3-deoxy-D-glycero-2,5-hexodiulosonate|2-dehydro-3-deoxy-D-gluconate + ATP  <-->  2-dehydro-3-deoxy-D-gluconate 6-phosphate + ADP + H+|4-hydroxy-2-oxoglutarate  <-->  glyoxylate + pyruvate|2-dehydro-3-deoxy-D-gluconate 6-phosphate  <-->  D-glyceraldehyde 3-phosphate + pyruvate|D-altronate  <-->  2-dehydro-3-deoxy-D-gluconate + H2O|D-altronate + NAD+  <-->  D-tagaturonate + NADH + H+|aldehydo-D-glucuronate  <-->  D-fructuronate|aldehydo-D-galacturonate  <-->  D-tagaturonate|L-alanine + UDP-N-alpha-D-acetylmuramate + ATP  <-->  UDP-N-acetylmuramoyl-L-alanine + ADP + phosphate + H+|leukotriene-D4 + H2O  <-->  glycine + leukotriene-E4|a dipeptide + H2O  <-->  2 amino acids|a beta-lactam + H2O  <-->  a substituted beta-amino acid|a reduced thioredoxin + an organic hydroperoxide  <-->  an oxidized thioredoxin + an alcohol + H2O|2 protein cysteines + an organic hydroperoxide  <-->  a protein disulfide + an alcohol + H2O|a reduced thioredoxin + NADP+  <-->  an oxidized thioredoxin + NADPH + H+|a [protein]-L-methionine + an oxidized thioredoxin + H2O  <-->  a protein-L-methionine-(S)-S-oxide + a reduced thioredoxin|a [protein]-L-methionine + an oxidized thioredoxin + H2O  <-->  a protein-L-methionine-(R)-S-oxide + a reduced thioredoxin|a tRNAgln + L-glutamine + ATP + H+  <-->  an L-glutaminyl-[tRNAgln] + AMP + diphosphate|L-ornithine + carbamoyl-phosphate  <-->  L-citrulline + phosphate + H+|L-ornithine + carbamoyl-phosphate  <-->  L-citrulline + phosphate + H+|dCMP + H+ + H2O  <-->  ammonium + dUMP|GTP + H2O  <-->  GDP + phosphate + H+|L-lysine + a tRNAlys + ATP + H+  <-->  an L-lysyl-[tRNAlys] + AMP + diphosphate|a [protein]-L-tyrosine phosphate + H2O  <-->  a [protein]-L-tyrosine + phosphate|D-ribulose 5-phosphate  <-->  formate + 1-deoxy-L-glycero-tetrulose 4-phosphate + H+|5-amino-6-(5-phospho-D-ribitylamino)uracil + NADP+  <-->  5-amino-6-(5-phospho-D-ribosylamino)uracil + NADPH + H+|2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + H+ + H2O  <-->  5-amino-6-(5-phospho-D-ribosylamino)uracil + ammonium|alpha-D-mannose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|thymidine + ATP  <-->  dTMP + ADP + H+|phosphoenolpyruvate + a [PTS enzyme I]-L-histidine  <-->  pyruvate + a [PTS enzyme I]-Npi-phospho-L-histidine|2'-deoxyuridine + ATP  <-->  dUMP + ADP + H+|a protein + H2O  <-->  a peptide + a peptide|O-acetyl-L-homoserine + methanethiol  <-->  acetate + L-methionine + H+|O-acetyl-L-homoserine + hydrogen sulfide  <-->  L-homocysteine + acetate + H+|a tRNA precursor + H2O  <-->  mature tRNA + a single-stranded oligoribonucleotide|a tRNA precursor + 2 CTP + ATP  <-->  a tRNA containing a 3' CCA end + 3 diphosphate|a 5-aminomethyl-2-thiouridine in tRNA + S-adenosyl-L-methionine  <-->  S-adenosyl-L-homocysteine + a 5-methylaminomethyl-2-thiouridine in tRNA + 2 H+|linoleate + ATP + coenzyme A  <-->  linoleoyl-CoA + AMP + diphosphate|oleate + ATP + coenzyme A  <-->  oleoyl-CoA + AMP + diphosphate|palmitate + ATP + coenzyme A  <-->  palmitoyl-CoA + AMP + diphosphate|a long-chain fatty acid + ATP + coenzyme A  <-->  a long-chain acyl-CoA + AMP + diphosphate|pristanate + ATP + coenzyme A  <-->  pristanoyl-CoA + AMP + diphosphate|a 2-methyl branched 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2-methyl branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate|phytenate + ATP + coenzyme A  <-->  phytenoyl-CoA + AMP + diphosphate|an odd numbered straight chain 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  an odd numbered straight chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate|a 3-methyl-branched 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate|decanoate + ATP + coenzyme A  <-->  decanoyl-CoA + AMP + diphosphate|(15Z)-tetracosenoate + ATP + coenzyme A  <-->  (Z)-15-tetracosenoyl-CoA + AMP + diphosphate|eicosapentaenoate + ATP + coenzyme A  <-->  eicosapentaenoyl-CoA + AMP + diphosphate|octanoate + ATP + coenzyme A  <-->  octanoyl-CoA + AMP + diphosphate|ATP + alpha-linolenate + coenzyme A  <-->  alpha-linolenoyl-CoA + AMP + diphosphate|a 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate|ethylphosphate + H2O  <-->  ethanol + phosphate|a phosphate monoester + H2O  <-->  an alcohol + phosphate|a [biotin-carboxyl-carrier protein monomer] + biotin + ATP  <-->  AMP + a biotinylated [BCCP monomer] + diphosphate|beta-D-fructofuranose + ATP  <-->  beta-D-fructofuranose 6-phosphate + ADP + H+|D-mannonate + NAD+  <-->  D-fructuronate + NADH + H+|D-mannonate  <-->  2-dehydro-3-deoxy-D-gluconate + H2O|2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O|a [formate C acetyltransferase]-glycine + S-adenosyl-L-methionine + a reduced flavodoxin  <-->  a [formate C acetyltransferase]-glycin -2-yl radical + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone|formate + acetyl-CoA  <-->  pyruvate + coenzyme A|(R)-2,3-dihydroxy-3-methylpentanoate  <-->  (S)-3-methyl-2-oxopentanoate + H2O|(R)-2,3-dihydroxy-3-methylbutanoate  <-->  3-methyl-2-oxobutanoate + H2O|2-oxo-3-hydroxy-4-phosphobutanoate + L-glutamate  <-->  4-phospho-hydroxy-L-threonine + 2-oxoglutarate|3-phospho-L-serine + 2-oxoglutarate  <-->  L-glutamate + 3-phospho-hydroxypyruvate|3-phospho-D-glycerate + NAD+  <-->  3-phospho-hydroxypyruvate + NADH + H+|XLLG xyloglucan oligosaccharide + 2 H2O  <-->  XXXG xyloglucan oligosaccharide + 2 beta-D-galactose|XLXG xyloglucan oligosaccharide + H2O  <-->  XXXG xyloglucan oligosaccharide + beta-D-galactose|XXLG xyloglucan oligosaccharide + H2O  <-->  XXXG xyloglucan oligosaccharide + beta-D-galactose|3'-ketolactose + H2O  <-->  3-keto-beta-D-galactose + beta-D-glucose|alpha-lactose + H2O  <-->  beta-D-galactose + beta-D-glucose|a beta-D-galactoside + H2O  <-->  a non galactosylated galactose acceptor + beta-D-galactose|UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate + D-alanyl-D-alanine + ATP  <-->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + ADP + phosphate + H+|UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine + D-alanyl-D-alanine + ATP  <-->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + ADP + phosphate + H+|undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl- D-alanyl-D-alanine + UDP-N-acetyl-alpha-D-glucosamine  <-->  undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + UDP + H+|undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl- D-alanine + UDP-N-acetyl-alpha-D-glucosamine  <-->  undecaprenyl-diphospho-(N-acetylglucosamine)-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanine + UDP + H+"
ENZRXNMH0.1636,-0.00249,"(-0.00432,-0.00067)",0.0092,0.25,NA,NA
ENZRXN1375.585,0.0005,"(0.00013,0.00088)",0.0103,0.258,[Acyl-carrier-protein] S-malonyltransferase,a holo-[acyl-carrier protein] + malonyl-CoA  <-->  a malonyl-[acp] + coenzyme A
ENZRXN1375.1168,0.00052,"(0.00013,0.00092)",0.0118,0.258,Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes,an S-sulfanyl-[L-cysteine desulfurase] + an unsulfurated [sulfur carrier]  <-->  L-cystein desulfurase + a sulfurated [sulfur carrier]
ENZRXN1375.1519,0.00064,"(0.00015,0.00113)",0.0124,0.258,Uridine kinase,cytidine + ATP  <-->  CMP + ADP + H+
ENZRXN1375.1366,0.00037,"(0.00009,0.00066)",0.0126,0.258,diguanylate cyclase (GGDEF) domain,"2 GTP  <-->  cyclic di-3',5'-guanylate + 2 diphosphate"
ENZRXN1375.1302,-0.00101,"(-0.0018,-0.00022)",0.0145,0.279,nucleotide sugar dehydrogenase,UDP-alpha-D-glucose + 2 NAD+ + H2O  <-->  UDP-alpha-D-glucuronate + 2 NADH + 3 H+
ENZRXN1375.715,0.00071,"(0.00014,0.00128)",0.0175,0.316,"pantothenate kinase, type III",(R)-pantothenate + ATP  <-->  D-4'-phosphopantothenate + ADP + H+
ENZRXN1375.1289,0.00063,"(0.00011,0.00115)",0.0214,0.368,precorrin-2 C20-methyltransferase,precorrin-2 + S-adenosyl-L-methionine  <-->  S-adenosyl-L-homocysteine + precorrin-3A + H+
ENZRXN1375.1354,0.00096,"(0.00013,0.00179)",0.0269,0.43,Phd_YefM.,L-phenylalanine + NAD+ + H2O  <-->  2-oxo-3-phenylpropanoate + ammonium + NADH + H+
ENZRXN1375.461,0.00085,"(0.00011,0.00159)",0.0277,0.43,Phosphomannose isomerase,alpha-D-mannose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate
ENZRXN1375.453,0.00047,"(0.00005,0.00089)",0.0303,0.435,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,a 5-aminomethyl-2-thiouridine in tRNA + S-adenosyl-L-methionine  <-->  S-adenosyl-L-homocysteine + a 5-methylaminomethyl-2-thiouridine in tRNA + 2 H+
ENZRXN1375.1181,0.00066,"(0.00007,0.00125)",0.0307,0.435,thiamine pyrophosphokinase,thiamin + ATP  <-->  thiamin diphosphate + AMP + H+
ENZRXNTSS.1007,-0.00117,"(-0.00224,-0.0001)",0.0355,0.482,putative 2-deoxy-D-gluconate 3-dehydrogenase,2-deoxygluconate + NAD+  <-->  3-dehydro-2-deoxy-D-gluconate + NADH + H+
ENZRXN1375.1368,-0.00109,"(-0.0021,-0.00008)",0.0374,0.488,D-alanyl-D-alanine carboxypeptidase,"UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + H2O  <-->  UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + D-alanine"
ENZRXN1375.159,-0.00108,"(-0.00208,-0.00007)",0.0398,0.489,tagatose-bisphosphate aldolase noncatalytic subunit,"D-tagatofuranose 1,6-bisphosphate  <-->  dihydroxyacetone phosphate + D-glyceraldehyde 3-phosphate"
ENZRXN1375.1275,0.00043,"(0.00003,0.00082)",0.0405,0.489,"Fructose-2,6-bisphosphatase",alpha-ribazole 5'-phosphate + H2O  <-->  alpha-ribazole + phosphate
ENZRXN1375.984,-0.0013,"(-0.00254,-0.00005)",0.0453,0.511,"glycogen/starch synthases, ADP-glucose type","ADP-alpha-D-glucose + (1,4-alpha-D-glucosyl)(n)  <-->  ADP + (1,4-alpha-D-glucosyl)(n+1)"
ENZRXN1375.1264,-0.00105,"(-0.00206,-0.00004)",0.0459,0.511,"uracil-DNA glycosylase, family 4",a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate
ENZRXN1375.455,0.0006,"(0.00002,0.00118)",0.0482,0.511,Metal-dependent hydrolases of the beta-lactamase superfamily III,a tRNA precursor + H2O  <-->  mature tRNA + a single-stranded oligoribonucleotide
ENZRXN1375.901,-0.00075,"(-0.00148,-0.00002)",0.0486,0.511,hypothetical protein,"fructose 1,6-bisphosphate + H2O  <-->  beta-D-fructofuranose 6-phosphate + phosphate"
ENZRXN1375.195,-0.0014,"(-0.00282,0.00001)",0.0562,0.555,riboflavin kinase/FMN adenylyltransferase,ATP + FMN + H+  <-->  FAD + diphosphate
ENZRXN1375.467,-0.00063,"(-0.00128,0.00001)",0.0587,0.555,translation elongation factor 2 (EF-2/EF-G),GTP + H2O  <-->  GDP + phosphate + H+
ENZRXN1375.399,0.00041,"(-0.00001,0.00083)",0.0604,0.555,Carbonic anhydrase,carbonic acid  <-->  CO2 + H2O
ENZRXN1375.1401,0.00038,"(-0.00001,0.00078)",0.0612,0.555,FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor),a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)
ENZRXN1375.157,0.00037,"(-0.00001,0.00075)",0.0638,0.555,Protease subunit of ATP-dependent Clp proteases|Protease subunit of ATP-dependent Clp proteases|Protease subunit of ATP-dependent Clp proteases|Protease subunit of ATP-dependent Clp proteases|diguanylate cyclase (GGDEF) domain|Archaeal IMP cyclohydrolase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|N-acetylglucosamine 6-phosphate deacetylase,"an oligopeptide + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  n a peptide|2 GTP  <-->  cyclic di-3',5'-guanylate + 2 diphosphate|IMP + H2O  <-->  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide|L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate|L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate|N-acetyl-D-galactosamine 6-phosphate + H2O  <-->  acetate + D-galactosamine 6-phosphate"
ENZRXN1375.1157,0.00047,"(-0.00003,0.00097)",0.067,0.555,"signal peptidase I, bacterial type",a peptide with a leader sequence + H2O  <-->  a peptide + a leader sequence
ENZRXN1375.1455,-0.00093,"(-0.00191,0.00005)",0.0682,0.555,"Fructose-2,6-bisphosphatase","beta-D-fructose 2,6-bisphosphate + H2O  <-->  beta-D-fructofuranose 6-phosphate + phosphate"
ENZRXN1375.1105,-0.00156,"(-0.0032,0.00009)",0.0686,0.555,"methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)","5,10-methenyltetrahydrofolate + H2O  <-->  10-formyl-tetrahydrofolate + H+"
ENZRXN1375.1152,-0.00067,"(-0.00138,0.00004)",0.0691,0.555,Signal transduction histidine kinase,a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+
ENZRXN1375.94,0.0006,"(-0.00004,0.00125)",0.0724,0.555,"dipeptidase, putative|serine O-acetyltransferase|dihydroorotase|orotidine 5'-phosphate decarboxylase, subfamily 2|dihydroorotate oxidase B, catalytic subunit|orotate phosphoribosyltransferase, Thermus family|carbamoyl-phosphate synthase small subunit|carbamoyl-phosphate synthase small subunit|carbamoyl-phosphate synthase small subunit|carbamoyl-phosphate synthase large subunit","N-succinyl-L,L-2,6-diaminopimelate + H2O  <-->  L,L-diaminopimelate + succinate|L-serine + acetyl-CoA  <-->  O-acetyl-L-serine + coenzyme A|(S)-dihydroorotate + H2O  <-->  N-carbamoyl-L-aspartate + H+|orotidine 5'-phosphate + H+  <-->  CO2 + UMP|(S)-dihydroorotate + fumarate  <-->  orotate + succinate|orotidine 5'-phosphate + diphosphate  <-->  5-phospho-alpha-D-ribose 1-diphosphate + orotate|2 ATP + L-glutamine + hydrogen carbonate + H2O  <-->  L-glutamate + carbamoyl-phosphate + 2 ADP + phosphate + 2 H+|L-glutamine + H2O  <-->  L-glutamate + ammonium|2 ATP + hydrogen carbonate + ammonium  <-->  2 ADP + carbamoyl-phosphate + phosphate + 2 H+|2 ATP + L-glutamine + hydrogen carbonate + H2O  <-->  L-glutamate + carbamoyl-phosphate + 2 ADP + phosphate + 2 H+"
ENZRXN1375.1006,0.00044,"(-0.00004,0.00092)",0.074,0.555,Beta-glucosidase-related glycosidases,a beta-D glucoside + H2O  <-->  a non glucosylated D-glucose acceptor + beta-D-glucose
ENZRXN1375.1160,0.00044,"(-0.00004,0.00092)",0.0758,0.555,lipoprotein signal peptidase,a prolipoprotein + H2O  <-->  a lipoprotein + a cleaved lipoprotein signal peptide
glutathione_ABC_transporter.1,-0.00281,"(-0.00587,0.00025)",0.0765,0.555,NA,NA
ENZRXN1375.334,0.00033,"(-0.00003,0.00068)",0.0772,0.555,"His Kinase A (phosphoacceptor) domain./Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+
ENZRXN1375.982,-0.00074,"(-0.00155,0.00007)",0.0784,0.555,NA,NA
glutathione_ABC_transporter,-0.00159,"(-0.00339,0.00021)",0.0884,0.594,NA,NA
ENZRXN1375.730,0.00057,"(-0.00008,0.00121)",0.0902,0.594,"birA, biotin-[acetyl-CoA-carboxylase] ligase region",a [biotin-carboxyl-carrier protein monomer] + biotin + ATP  <-->  AMP + a biotinylated [BCCP monomer] + diphosphate
ENZRXN1375.1147,0.0004,"(-0.00006,0.00085)",0.0921,0.594,farnesyl-diphosphate synthase,"geranyl diphosphate + isopentenyl diphosphate  <-->  (2E,6E)-farnesyl diphosphate + diphosphate"
ENZRXN1375.1190,0.00035,"(-0.00005,0.00074)",0.0921,0.594,"Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)",propanoyl-CoA + ATP + hydrogen carbonate  <-->  (S)-methylmalonyl-CoA + ADP + phosphate + H+
ENZRXN1375.261,0.00055,"(-0.00008,0.00119)",0.0929,0.594,anti-sigma F factor,a [protein]-(L-serine/L-threonine) + ATP  <-->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+
ENZRXNTSS.291,-0.00076,"(-0.00165,0.00012)",0.095,0.595,NAD+ synthetase,ammonium + ATP + nicotinate adenine dinucleotide  <-->  AMP + NAD+ + diphosphate + H+
ENZRXN1375.896,-0.00075,"(-0.00163,0.00012)",0.0967,0.595,Galactokinase,alpha-D-galactose + ATP  <-->  alpha-D-galactose 1-phosphate + ADP + H+
ENZRXN1375.293,0.00032,"(-0.00006,0.00071)",0.0988,0.597,DNA polymerase I,a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate
ENZRXN1375.458,0.00057,"(-0.00011,0.00124)",0.1045,0.615,ATP-dependent Clp protease proteolytic subunit ClpP,a protein + H2O  <-->  a peptide + a peptide
